arène,Nom,Nom standard Hugging Face ou lien,DESCRIPTION,Organisation,Famille,Taille,Paramètres,Code source,Corpus d'entrainement,Distribution,contexte,RAM systeme pour installation locale,Conditions d'usage,Licence,régime,Pool(s) envisagée(s),Date,open source ou propriétaire,Nombre de tokens (corpus),knowledge cutoff,Fourni via,Remarques,priorité intégration arène
No,Gemma-2-9B-it,google/gemma-2-9b-it,,Google,Gemma,S,9B,poids communiqués,non communiqué,téléchargeable,,16Go,,Gemma license,,"Modèles de base, Petits modèles",01/02/2024,open source,,,"Google AI Vertex (https://www.notion.so/Google-AI-Vertex-491e280ab47e4bd287c2fb30a6b2029e?pvs=21), HF Serverless Inference API (https://www.notion.so/HF-Serverless-Inference-API-2c1035a3ee0e4aeaa04bd1aa36a27a42?pvs=21)",,2 - oui fortement souhaité
No,Gemini 1.5 Pro API-0409-Preview,,,Google,Gemini,L,Non public,propriétaire,non communiqué,API uniquement,,non pertinent,,Proprietary,,Gros modèles (>30B),01/11/2023,propriétaire,,,,,3 - oui serait un plus
No,GPT-4-Turbo-2024-04-09,,,OpenAI,OpenAI,L,Non public,propriétaire,non communiqué,API uniquement,,non pertinent,,Proprietary,,Modèles de base,01/12/2023,propriétaire,,,,,4 - non pas prioritaire
No,Llama-2-13b-chat,,,Meta,Llama2,S,13B,poids communiqués,non communiqué,téléchargeable,,,,Llama 2 Community,,,01/07/2023,open source,,,,Remplacé,4 - non pas prioritaire
No,Zephyr-ORPO-141b-A35b-v0.1,https://huggingface.co/HuggingFaceH4/zephyr-orpo-141b-A35b-v0.1,,Hugging Face,Mistral,,141B,poids communiqués,non communiqué,téléchargeable,,,,Apache-2.0,,"Fine-tunes à visée francophone, Gros modèles (>30B)",01/04/2024,open source,,,,,4 - non pas prioritaire
No,Mistral-Large-2402,,,Mistral,Mistral,L,Non public,propriétaire,non communiqué,API uniquement,32k,non pertinent,,Proprietary,propriétaire,Gros modèles (>30B),,propriétaire,,,Mistral? (https://www.notion.so/Mistral-83986a1d09b74efa92cc018ae0bab341?pvs=21),,1 - oui absolument
No,GPT-3.5-Turbo-0613,,,OpenAI,OpenAI,L,Non public,propriétaire,non communiqué,API uniquement,,non pertinent,,Proprietary,,Gros modèles (>30B),01/09/2021,propriétaire,,,,,4 - non pas prioritaire
Yes,CroissantLLMChat-v0.1,croissantllm/CroissantLLMChat-v0.1,"Entrainé sur 3000 milliards de tokens, ce modèle se distingue par son bilinguisme : 50% des données d’entraînement sont en français, le reste en anglais.",ILLUIN,Llama2,XS,1.3B,poids communiqués,communiqué,téléchargeable,2k,5Go,Libre,MIT,,"Fine-tunes à visée francophone, Petits modèles",,open source,3T,,HF Serverless Inference API (https://www.notion.so/HF-Serverless-Inference-API-2c1035a3ee0e4aeaa04bd1aa36a27a42?pvs=21),Trop vieux,3 - oui serait un plus
No,Phi-3-Mini-4k-Instruct,microsoft/Phi-3-mini-4k-instruct,"Petit frère de la famille Phi3, ce modèle supporte un contexte de 4000 tokens et a été entrainé sur des jeux de données synthétiques et issus du web filtré.",Microsoft,Phi,XS,3.8B,poids communiqués,non communiqué,téléchargeable,,,Libre,MIT,,"Modèles de base, Petits modèles",01/10/2023,open source,,,HF Serverless Inference API (https://www.notion.so/HF-Serverless-Inference-API-2c1035a3ee0e4aeaa04bd1aa36a27a42?pvs=21),,2 - oui fortement souhaité
No,Vicuna-13B,,,Meta,Llama2,S,13B,poids communiqués,,téléchargeable,,,,Llama 2 Community,,,01/07/2023,open source,,,,Trop vieux,4 - non pas prioritaire
